epoch,train_loss,val_loss,val_acc,hidden_dim,learning_rate,num_epochs,batch_size,n_layers,model,input_dim,timestamp,n_samples
0,1.0629895231495166,1.0552021544030372,0.4626709726443769,256,0.0005,10,32,1,both,1536,1670125099,10000
1,1.057854629814897,1.054707742751913,0.4626709726443769,256,0.0005,10,32,1,both,1536,1670125099,10000
2,1.0597051866522662,1.0563379285183359,0.4626709726443769,256,0.0005,10,32,1,both,1536,1670125099,10000
3,1.058515394659347,1.059343731149714,0.4626709726443769,256,0.0005,10,32,1,both,1536,1670125099,10000
4,1.059228226474431,1.0556155887055905,0.4626709726443769,256,0.0005,10,32,1,both,1536,1670125099,10000
5,1.0581088240288163,1.0542679517827136,0.4626709726443769,256,0.0005,10,32,1,both,1536,1670125099,10000
6,1.0571914173696684,1.054757888012744,0.4626709726443769,256,0.0005,10,32,1,both,1536,1670125099,10000
7,1.0575218706914824,1.0543007761874097,0.4626709726443769,256,0.0005,10,32,1,both,1536,1670125099,10000
8,1.0574142682497905,1.0552433259943699,0.4626709726443769,256,0.0005,10,32,1,both,1536,1670125099,10000
9,1.0575161957305317,1.0555311441421509,0.4626709726443769,256,0.0005,10,32,1,both,1536,1670125099,10000
0,1.0607447784785267,1.0603071958460706,0.44376899696048633,256,0.0005,10,32,1,both,1536,1670188295,10000
1,1.0561093170893248,1.0624733922329355,0.44376899696048633,256,0.0005,10,32,1,both,1536,1670188295,10000
2,1.0541223665894983,1.0835559685179528,0.44376899696048633,256,0.0005,10,32,1,both,1536,1670188295,10000
3,1.055614737343026,1.0606164006476706,0.44376899696048633,256,0.0005,10,32,1,both,1536,1670188295,10000
4,1.0552562102335228,1.059266488602821,0.44376899696048633,256,0.0005,10,32,1,both,1536,1670188295,10000
5,1.055386428963648,1.0607476183708677,0.44376899696048633,256,0.0005,10,32,1,both,1536,1670188295,10000
6,1.0557746076148395,1.0621713831069621,0.44376899696048633,256,0.0005,10,32,1,both,1536,1670188295,10000
7,1.0546753526278283,1.059665064862434,0.44376899696048633,256,0.0005,10,32,1,both,1536,1670188295,10000
8,1.054734091508334,1.0599059196228677,0.44376899696048633,256,0.0005,10,32,1,both,1536,1670188295,10000
9,1.0553250280145097,1.059114306531054,0.44376899696048633,256,0.0005,10,32,1,both,1536,1670188295,10000
