epoch,train_loss,val_loss,val_acc,hidden_dim,learning_rate,num_epochs,batch_size,n_layers,model,input_dim,timestamp
0,1.0977000508989607,1.0962576866149902,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
1,1.0967046192714147,1.0952956676483154,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
2,1.0957846982138497,1.0943185687065125,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
3,1.094768490110125,1.0932958722114563,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
4,1.093693460736956,1.0921695232391357,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
5,1.0925788198198592,1.0908543467521667,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
6,1.0910881076540266,1.0893193483352661,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
7,1.0895386253084456,1.0875367522239685,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
8,1.0875703947884696,1.085425853729248,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
9,1.0853618213108607,1.0829136967658997,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
10,1.0825932025909424,1.0799902081489563,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
11,1.0796688795089722,1.0764958262443542,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
12,1.0758053404944283,1.0723535418510437,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
13,1.071374842098781,1.0672699809074402,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
14,1.0658999511173792,1.0609933733940125,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
15,1.0593242134366716,1.0534249544143677,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
16,1.0512413127081734,1.0445180535316467,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
17,1.0419477224349976,1.0343098640441895,0.47058823529411764,128,5e-05,25,1024,0,simcse,768,1670025145
18,1.031452979360308,1.0234044194221497,0.5437073266806722,128,5e-05,25,1024,0,simcse,768,1670025145
19,1.0206529923847742,1.0122859477996826,0.5437073266806722,128,5e-05,25,1024,0,simcse,768,1670025145
20,1.0094874160630363,1.001420110464096,0.5437073266806722,128,5e-05,25,1024,0,simcse,768,1670025145
21,0.9992345230919975,0.991070955991745,0.5451721704306722,128,5e-05,25,1024,0,simcse,768,1670025145
22,0.9891039303370884,0.9809406101703644,0.5670545561974789,128,5e-05,25,1024,0,simcse,768,1670025145
23,0.9789094243730817,0.9709615111351013,0.5665662749474789,128,5e-05,25,1024,0,simcse,768,1670025145
24,0.9687486716679165,0.9608844518661499,0.5646870076155462,128,5e-05,25,1024,0,simcse,768,1670025145
0,1.0989106893539429,1.0984729528427124,0.21017020089285715,128,5e-05,25,1024,1,simcse,768,1670025190
1,1.0981237888336182,1.0976728796958923,0.5515034138655462,128,5e-05,25,1024,1,simcse,768,1670025190
2,1.0973602022443498,1.0968692898750305,0.5496980042016807,128,5e-05,25,1024,1,simcse,768,1670025190
3,1.0966028656278337,1.0960463285446167,0.47267266281512604,128,5e-05,25,1024,1,simcse,768,1670025190
4,1.0957694905144828,1.0951575636863708,0.47267266281512604,128,5e-05,25,1024,1,simcse,768,1670025190
5,1.0948618820735387,1.0941839814186096,0.47267266281512604,128,5e-05,25,1024,1,simcse,768,1670025190
6,1.0938681874956404,1.0930710434913635,0.47267266281512604,128,5e-05,25,1024,1,simcse,768,1670025190
7,1.0927199976784843,1.0917685627937317,0.47267266281512604,128,5e-05,25,1024,1,simcse,768,1670025190
8,1.0913514069148473,1.0902268886566162,0.47267266281512604,128,5e-05,25,1024,1,simcse,768,1670025190
9,1.0897101334163122,1.0884003043174744,0.47267266281512604,128,5e-05,25,1024,1,simcse,768,1670025190
10,1.087751763207572,1.0861750841140747,0.47267266281512604,128,5e-05,25,1024,1,simcse,768,1670025190
11,1.0852665390287126,1.083382487297058,0.47267266281512604,128,5e-05,25,1024,1,simcse,768,1670025190
12,1.0821943964276994,1.0798372030258179,0.485175124737395,128,5e-05,25,1024,1,simcse,768,1670025190
13,1.0783377204622542,1.0754480361938477,0.5626887473739496,128,5e-05,25,1024,1,simcse,768,1670025190
14,1.0735998153686523,1.0699870586395264,0.574066931460084,128,5e-05,25,1024,1,simcse,768,1670025190
15,1.0674455165863037,1.0630515813827515,0.5760939141281513,128,5e-05,25,1024,1,simcse,768,1670025190
16,1.0597660030637468,1.054177165031433,0.606765362394958,128,5e-05,25,1024,1,simcse,768,1670025190
17,1.0501603739602225,1.043353796005249,0.6142372964810925,128,5e-05,25,1024,1,simcse,768,1670025190
18,1.0384994404656547,1.030637800693512,0.6166787027310925,128,5e-05,25,1024,1,simcse,768,1670025190
19,1.0246960265295846,1.0159148573875427,0.6212209493172269,128,5e-05,25,1024,1,simcse,768,1670025190
20,1.0091195702552795,0.999450296163559,0.6185579700630253,128,5e-05,25,1024,1,simcse,768,1670025190
21,0.9917019179889134,0.9821233451366425,0.633308987657563,128,5e-05,25,1024,1,simcse,768,1670025190
22,0.9737152372087751,0.9646910130977631,0.6488149947478992,128,5e-05,25,1024,1,simcse,768,1670025190
23,0.9559009671211243,0.9472940266132355,0.6488888524159664,128,5e-05,25,1024,1,simcse,768,1670025190
24,0.9380956547600883,0.9301375150680542,0.6490365677521008,128,5e-05,25,1024,1,simcse,768,1670025190
0,1.103355850492205,1.1029857397079468,0.3037232471113446,128,5e-05,25,1024,2,simcse,768,1670025235
1,1.1025375127792358,1.102204442024231,0.3032349658613446,128,5e-05,25,1024,2,simcse,768,1670025235
2,1.1017067091805595,1.1014222502708435,0.37647305015756305,128,5e-05,25,1024,2,simcse,768,1670025235
3,1.1009132862091064,1.100630760192871,0.37647305015756305,128,5e-05,25,1024,2,simcse,768,1670025235
4,1.100070868219648,1.0997873544692993,0.37647305015756305,128,5e-05,25,1024,2,simcse,768,1670025235
5,1.0991633789879935,1.0988690853118896,0.37647305015756305,128,5e-05,25,1024,2,simcse,768,1670025235
6,1.0981885024479456,1.0978570580482483,0.37647305015756305,128,5e-05,25,1024,2,simcse,768,1670025235
7,1.097082189151219,1.0966706275939941,0.37647305015756305,128,5e-05,25,1024,2,simcse,768,1670025235
8,1.0957925489970617,1.095259666442871,0.4334501378676471,128,5e-05,25,1024,2,simcse,768,1670025235
9,1.094273465020316,1.0936462879180908,0.5551880908613445,128,5e-05,25,1024,2,simcse,768,1670025235
10,1.0925388506480627,1.0918259024620056,0.6500869879201681,128,5e-05,25,1024,2,simcse,768,1670025235
11,1.0905220338276453,1.0896623134613037,0.6772214745273109,128,5e-05,25,1024,2,simcse,768,1670025235
12,1.0881579092570715,1.087009847164154,0.6982011554621849,128,5e-05,25,1024,2,simcse,768,1670025235
13,1.085224679538182,1.0838862657546997,0.7042821034663865,128,5e-05,25,1024,2,simcse,768,1670025235
14,1.0817986556461878,1.0800715684890747,0.6179794183298319,128,5e-05,25,1024,2,simcse,768,1670025235
15,1.077543786593846,1.0753905177116394,0.6158785779936975,128,5e-05,25,1024,2,simcse,768,1670025235
16,1.0722330978938512,1.0695619583129883,0.6112624737394958,128,5e-05,25,1024,2,simcse,768,1670025235
17,1.0659080403191703,1.0623010396957397,0.6037166819852942,128,5e-05,25,1024,2,simcse,768,1670025235
18,1.057736107281276,1.0533663630485535,0.594558331144958,128,5e-05,25,1024,2,simcse,768,1670025235
19,1.0477069446018763,1.0423787236213684,0.594558331144958,128,5e-05,25,1024,2,simcse,768,1670025235
20,1.0356203828539168,1.0290377736091614,0.5935079109768908,128,5e-05,25,1024,2,simcse,768,1670025235
21,1.0210280758993966,1.0133157968521118,0.5919692095588236,128,5e-05,25,1024,2,simcse,768,1670025235
22,1.0039931791169303,0.9956562519073486,0.6004915638130253,128,5e-05,25,1024,2,simcse,768,1670025235
23,0.9853343708174569,0.9767571091651917,0.6031545430672269,128,5e-05,25,1024,2,simcse,768,1670025235
24,0.9653128981590271,0.9574185013771057,0.6858915441176471,128,5e-05,25,1024,2,simcse,768,1670025235
0,1.1007192645754134,1.1002799272537231,0.21314502363445378,128,5e-05,25,1024,3,simcse,768,1670025280
1,1.0997884443828039,1.099265456199646,0.21314502363445378,128,5e-05,25,1024,3,simcse,768,1670025280
2,1.0988034691129411,1.0982180833816528,0.2659942883403361,128,5e-05,25,1024,3,simcse,768,1670025280
3,1.0977787630898612,1.0971062183380127,0.5495338760504201,128,5e-05,25,1024,3,simcse,768,1670025280
4,1.0966850519180298,1.0958728194236755,0.5425502232142857,128,5e-05,25,1024,3,simcse,768,1670025280
5,1.0954424824033464,1.0944196581840515,0.5420619419642857,128,5e-05,25,1024,3,simcse,768,1670025280
6,1.0939540692738123,1.0927062034606934,0.5420619419642857,128,5e-05,25,1024,3,simcse,768,1670025280
7,1.0921425819396973,1.0905600190162659,0.4696527048319328,128,5e-05,25,1024,3,simcse,768,1670025280
8,1.0899806533540999,1.0879826545715332,0.4696527048319328,128,5e-05,25,1024,3,simcse,768,1670025280
9,1.087221281869071,1.084808886051178,0.4696527048319328,128,5e-05,25,1024,3,simcse,768,1670025280
10,1.0838480676923479,1.08074551820755,0.4696527048319328,128,5e-05,25,1024,3,simcse,768,1670025280
11,1.0796322652271815,1.075516939163208,0.4696527048319328,128,5e-05,25,1024,3,simcse,768,1670025280
12,1.0743978023529053,1.0689411759376526,0.4696527048319328,128,5e-05,25,1024,3,simcse,768,1670025280
13,1.0675490413393294,1.0607092380523682,0.4696527048319328,128,5e-05,25,1024,3,simcse,768,1670025280
14,1.05950209072658,1.0505549907684326,0.4696527048319328,128,5e-05,25,1024,3,simcse,768,1670025280
15,1.0489354985100883,1.0390837788581848,0.4696527048319328,128,5e-05,25,1024,3,simcse,768,1670025280
16,1.0380727904183524,1.0266249179840088,0.4696527048319328,128,5e-05,25,1024,3,simcse,768,1670025280
17,1.0262621981757027,1.0143272280693054,0.4696527048319328,128,5e-05,25,1024,3,simcse,768,1670025280
18,1.0148118734359741,1.0030231475830078,0.4696527048319328,128,5e-05,25,1024,3,simcse,768,1670025280
19,1.0042086243629456,0.9930440187454224,0.5420619419642857,128,5e-05,25,1024,3,simcse,768,1670025280
20,0.9954798306737628,0.9839010238647461,0.5420619419642857,128,5e-05,25,1024,3,simcse,768,1670025280
21,0.9863200102533612,0.975426435470581,0.5426240808823529,128,5e-05,25,1024,3,simcse,768,1670025280
22,0.9775731648717608,0.9675227403640747,0.5760323660714286,128,5e-05,25,1024,3,simcse,768,1670025280
23,0.9698195968355451,0.9600328803062439,0.5886086856617647,128,5e-05,25,1024,3,simcse,768,1670025280
24,0.9619715298925128,0.9527214765548706,0.6319303111869747,128,5e-05,25,1024,3,simcse,768,1670025280
0,1.1063337155750819,1.105677604675293,0.22196280856092437,128,5e-05,25,1024,4,simcse,768,1670025326
1,1.1055024351392473,1.1048970222473145,0.22196280856092437,128,5e-05,25,1024,4,simcse,768,1670025326
2,1.1047145979745048,1.1040959358215332,0.22196280856092437,128,5e-05,25,1024,4,simcse,768,1670025326
3,1.1038799967084612,1.1032435297966003,0.22196280856092437,128,5e-05,25,1024,4,simcse,768,1670025326
4,1.1029774461473738,1.1023165583610535,0.22196280856092437,128,5e-05,25,1024,4,simcse,768,1670025326
5,1.1019821507590157,1.1012631058692932,0.22196280856092437,128,5e-05,25,1024,4,simcse,768,1670025326
6,1.1008497476577759,1.1000638604164124,0.22196280856092437,128,5e-05,25,1024,4,simcse,768,1670025326
7,1.0995372874396188,1.098706066608429,0.22196280856092437,128,5e-05,25,1024,4,simcse,768,1670025326
